Abacus,Wiley-Blackwell Publishing,0001-3072,1467-6281
Accountancy Business and the Public Interest,Association for Accountancy & Business Affairs,1745-7718,
Accounting Accountability and Performance,Griffith University,1445-954X,
Accounting and Business Research,Taylor & Francis Online,0001-4788,2159-4260
Accounting and Finance,"John Wiley & Sons, Inc.",0810-5391,1467-629X
Accounting and Taxation,Institute for Business and Finance Research,1944-592X,
Accounting and the Public Interest,American Accounting Association,1530-9320,
Accounting Auditing and Accountability Journal,Emerald Group Publishing Limited,0951-3574,1758-4205
Accounting Education ,Taylor & Francis Online,0963-9284,1468-4489
Accounting Educators Journal,Academy of Accounting Educators Inc.,1041-0392,
Accounting Forum,Taylor & Francis Online,0155-9982,1467-6303
Accounting Historians Journal,American Accounting Association,0148-4184,
Accounting History,Sage Publications,1032-3732,1749-3374
Accounting History Review,Taylor & Francis Online,2155-2851,2155-286X
Accounting Horizons,American Accounting Association,0888-7993,1558-7975
Accounting in Europe,Taylor & Francis Online,1744-9480,1744-9499
Accounting Perspectives,Wiley-Blackwell Publishing,1911-382X,1911-3838
Accounting Research Journal,Emerald Group Publishing,1030-9616,
"Accounting, Economics and Law: A Convivium",De Gruyter ,2194-6051,2152-2820
"Accounting, Finance and Governance Review",Irish Accounting and Finance Association,0791-9638,
"Accounting, Organizations and Society",Elsevier,0361-3682,1873-6289
Actuarial Research Clearinghouse,SOA Education and Research Section,0732-5428,
Advances in Accounting,Elsevier,0882-6110,1046-5715
Advances in Accounting Behavioral Research,Emerald Group Publishing,1475-1488,
Advances in Accounting Education,Emerald Group Publishing,1085-4622,
Advances in Environmental Accounting and Management,Emerald Group Publishing,1479-3598,
Advances in Management Accounting,Emerald Group Publishing,1474-7871,
Advances in Public Interest Accounting,Emerald Group Publishing,1041-7060,
"African Journal of Accounting, Auditing and Finance",Inderscience Enterprises Ltd.,2046-8083,2046-8091
"African Journal of Accounting, Economics, Finance and Banking Research",Global Business Investments and Publications,1933-3404,1933-3463
Afro-Asian Journal of Finance and Accounting,Inderscience Enterprises Ltd.,1751-6447,1751-6455
Agricultural Finance Review,Emerald Group Publishing,0002-1466,2041-6326
AIS Educator Journal,Allen Press Inc.,1935-8156,
Algorithmic Finance,IOS Press,2158-5571,2157-6203
American Journal of Finance and Accounting,Inderscience Publishers,1752-7767,1752-7775
Annals of Actuarial Science,Cambridge University Press,1748-4995,1748-5002
Annals of Economics and Finance,Peking University Press,1529-7373,
Annals of Finance,Springer International Publishing,1614-2446,1614-2454
Applied Finance Letters,Auckland University of Technology,2253-5799,2253-5802
Applied Financial Economics,Taylor & Francis Online,0960-3107,1466-4305
Applied Mathematical Finance,Taylor & Francis Online,1350-486X,1466-4313
Art Law and Accounting Reporter,Volunteer Lawyers and Accountants for the Arts,0886-1013,
Asia Pacific Journal of Finance,Wiley-Blackwell Publishing,0219-1466,
Asia-Pacific Financial Markets,Springer International Publishing,1387-2834,1573-6946
Asia-Pacific Journal of Accounting and Economics,Taylor & Francis Online,1608-1625,2164-2257
Asia-Pacific Journal of Financial Studies,Wiley-Blackwell Publishing,2041-9945,2041-6156
Asia-Pacific Journal of Risk and Insurance,De Gruyter,2194-606X,2153-3792
Asia-Pacific Management Accounting Journal,Universiti Teknologi MARA (UiTM) Press,1675-3194,2550-1631
Asian Academy of Management Journal of Accounting and Finance,Asian Academy of Management / Penerbit Universiti Sains Malaysia,1823-4992,2180-4192
Asian Journal of Accounting and Governance,Universiti Kebangsaan Malaysia (UKM) Press,2180-3838,
Asian Journal of Accounting Research,Emerald Group Publishing,2459-9700,2443-4175
Asian Journal of Business and Accounting,University of Malaysia,1985-4064,2180-3137
Asian Journal of Management Cases,Sage Publications,0972-8201,0973-0621
Asian Review of Accounting,Emerald Group Publishing,1321-7348,1758-8863
ASTIN Bulletin,Cambridge University Press,0515-0361,1783-1350
Audit Financiar,Chamber of Financial Auditors in Romania,1583-5812,1844-8801
Auditing: A Journal of Practice and Theory,American Accounting Association,0278-0380,1558-7991
Australasian Accounting Business and Finance Journal,University of Canberra,1834-2000,1834-2019
Australasian Journal of Business and Behavioural Sciences,Australasian Business and Behavioural Sciences Association,1832-0422,
Australian Accounting Review,Wiley-Blackwell Publishing,1035-6908,1835-2561
Australian Journal of Actuarial Practice,Institute of Actuaries of Australia,2203-2290,2203-5354
Australian Journal of Business and Management Research,New South Wales Research Centre Australia,,1839-0846
Australian Journal of Management,Sage Publications,0312-8962,1327-2020
Bank Parikrama: A Journal of Banking and Finance,Bangladesh Institute of Bank Management,1019-7044,
Banks and Bank Systems,Business Perspectives Ltd,1816-7403,1991-7074
Behavioral Research in Accounting,American Accounting Association,1050-4753,1558-8009
British Accounting Review,Elsevier,0890-8389,1095-8347
British Actuarial Journal,Cambridge University Press,1357-3217,2044-0456
Bulletin of Monetary Economics and Banking,Bank Indonesia,1410-8046,2460-9196
Capital Markets Review,Malaysian Finance Association and Bursa Malaysia,1823-4445,
Central Bank Review,Elsevier,1303-0701,1305-8800
China Accounting and Finance Review,Hong Kong Polytechnic University,1029-807X,2307-3055
China Finance Review International,Emerald Group Publishing Limited,2044-1398,2044-1401
China Journal of Accounting Research,Elsevier,1755-3091,2214-1421
China Journal of Accounting Studies,Taylor & Francis Online,2169-7213¬†,2169-7221
Comptabilité Contrôle Audit,Association Francophone de Comptabilit FRANCE,1262-2788,2313-514X
Contemporary Accounting Research,Wiley-Blackwell Publishing,0823-9150,1911-3846
Copernican Journal of Finance & Accounting,Nicolaus Copernicus University,2300-1240,2300-3065
Corporate Finance Review,"RIA Group, Boston",1089-327X,
Corporate Governance and Sustainability Review,Virtus Interpress,2519-8971,2519-898X
Corporate Ownership and Control ,Virtus Interpress,1727-9232,1810-3057
Cost Management,"Warren Gorham & Lamont, Inc.  - Thomson Financial Publishing",1092-8057,
